0.000000,0.555845,-0.242609,-0.028516,-0.000029,0.000000,0.000002
0.010000,0.555845,-0.242613,-0.028516,-0.000029,0.000000,0.000002
0.020000,0.555845,-0.242616,-0.028516,-0.000029,0.000000,0.000002
0.030000,0.555845,-0.242620,-0.028516,-0.000029,0.000000,0.000002
0.040000,0.555844,-0.242624,-0.028516,-0.000029,0.000000,0.000002
0.050000,0.555844,-0.242627,-0.028517,-0.000029,0.000000,0.000002
0.060000,0.555844,-0.242631,-0.028517,-0.000029,0.000000,0.000002
0.070000,0.555844,-0.242634,-0.028517,-0.000029,0.000000,0.000002
0.080000,0.555843,-0.242638,-0.028518,-0.000029,0.000000,0.000002
0.090000,0.555843,-0.242642,-0.028518,-0.000029,0.000000,0.000002
0.100000,0.555842,-0.242645,-0.028519,-0.000029,0.000000,0.000002
0.110000,0.555842,-0.242649,-0.028519,-0.000029,0.000000,0.000002
0.120000,0.555842,-0.242652,-0.028519,-0.000029,0.000000,0.000002
0.130000,0.555841,-0.242656,-0.028520,-0.000029,0.000000,0.000002
0.140000,0.555841,-0.242659,-0.028520,-0.000029,0.000000,0.000002
0.150000,0.555841,-0.242663,-0.028520,-0.000029,-0.000000,0.000002
0.160000,0.555841,-0.242667,-0.028520,-0.000029,-0.000000,0.000002
0.170000,0.555841,-0.242670,-0.028520,-0.000029,-0.000000,0.000002
0.180000,0.555840,-0.242674,-0.028520,-0.000029,-0.000000,0.000002
0.190000,0.555840,-0.242677,-0.028520,-0.000029,-0.000000,0.000002
0.200000,0.555840,-0.242681,-0.028520,-0.000029,-0.000000,0.000002
0.210000,0.555840,-0.242684,-0.028520,-0.000029,-0.000000,0.000002
0.220000,0.555840,-0.242688,-0.028520,-0.000029,-0.000000,0.000002
0.230000,0.555840,-0.242692,-0.028521,-0.000029,-0.000000,0.000002
0.240000,0.555840,-0.242695,-0.028521,-0.000029,-0.000000,0.000002
0.250000,0.555840,-0.242699,-0.028521,-0.000029,-0.000000,0.000002
0.260000,0.555840,-0.242702,-0.028522,-0.000029,-0.000000,0.000002
0.270000,0.555840,-0.242706,-0.028522,-0.000029,-0.000000,0.000002
0.280000,0.555840,-0.242709,-0.028523,-0.000029,-0.000000,0.000002
0.290000,0.555839,-0.242713,-0.028523,-0.000029,-0.000000,0.000002
0.300000,0.555839,-0.242716,-0.028523,-0.000029,-0.000000,0.000002
0.310000,0.555839,-0.242720,-0.028523,-0.000029,-0.000000,0.000002
0.320000,0.555839,-0.242723,-0.028524,-0.000029,-0.000000,0.000002
0.330000,0.555839,-0.242727,-0.028524,-0.000029,-0.000000,0.000002
0.340000,0.555838,-0.242731,-0.028524,-0.000029,0.000000,0.000002
0.350000,0.555838,-0.242734,-0.028524,-0.000029,0.000000,0.000002
0.360000,0.555838,-0.242738,-0.028524,-0.000029,0.000000,0.000002
0.370000,0.555837,-0.242741,-0.028523,-0.000029,0.000000,0.000002
0.380000,0.555836,-0.242745,-0.028523,-0.000029,0.000000,0.000002
0.390000,0.555835,-0.242748,-0.028523,-0.000029,0.000000,0.000002
0.400000,0.555833,-0.242752,-0.028522,-0.000029,0.000000,0.000002
0.410000,0.555829,-0.242755,-0.028530,-0.000029,0.000015,0.000002
0.420000,0.555822,-0.242759,-0.028530,-0.000029,0.000049,0.000002
0.430000,0.555813,-0.242762,-0.028528,-0.000029,0.000084,0.000002
0.440000,0.555800,-0.242766,-0.028517,-0.000030,0.000112,0.000002
0.450000,0.555786,-0.242770,-0.028500,-0.000033,0.000129,0.000002
0.460000,0.555771,-0.242774,-0.028481,-0.000035,0.000135,0.000002
0.470000,0.555756,-0.242779,-0.028463,-0.000037,0.000130,0.000002
0.480000,0.555741,-0.242783,-0.028449,-0.000039,0.000115,0.000002
0.490000,0.555729,-0.242788,-0.028441,-0.000040,0.000092,0.000002
0.500000,0.555718,-0.242793,-0.028439,-0.000040,0.000063,0.000002
0.510000,0.555710,-0.242798,-0.028444,-0.000039,0.000030,0.000002
0.520000,0.555706,-0.242802,-0.028444,-0.000038,0.000000,0.000002
0.530000,0.555703,-0.242807,-0.028457,-0.000035,-0.000000,0.000002
0.540000,0.555700,-0.242811,-0.028479,-0.000033,-0.000000,0.000002
0.550000,0.555698,-0.242814,-0.028493,-0.000031,-0.000000,0.000002
0.560000,0.555697,-0.242818,-0.028502,-0.000030,-0.000000,0.000002
0.570000,0.555696,-0.242822,-0.028508,-0.000029,-0.000000,0.000002
0.580000,0.555695,-0.242825,-0.028512,-0.000029,-0.000000,0.000002
0.590000,0.555694,-0.242829,-0.028515,-0.000029,-0.000000,0.000002
0.600000,0.555693,-0.242832,-0.028516,-0.000029,-0.000000,0.000002
0.610000,0.555692,-0.242836,-0.028517,-0.000028,-0.000000,0.000002
0.620000,0.555692,-0.242839,-0.028518,-0.000028,-0.000000,0.000002
0.630000,0.555691,-0.242843,-0.028519,-0.000028,-0.000000,0.000002
0.640000,0.555691,-0.242846,-0.028519,-0.000028,-0.000000,0.000002
0.650000,0.555690,-0.242850,-0.028519,-0.000028,-0.000000,0.000002
0.660000,0.555689,-0.242853,-0.028520,-0.000028,-0.000000,0.000002
0.670000,0.555689,-0.242857,-0.028520,-0.000029,-0.000000,0.000002
0.680000,0.555688,-0.242860,-0.028520,-0.000029,-0.000000,0.000002
0.690000,0.555687,-0.242864,-0.028520,-0.000029,-0.000000,0.000002
0.700000,0.555685,-0.242868,-0.028519,-0.000029,-0.000000,0.000002
0.710000,0.555683,-0.242871,-0.028519,-0.000029,-0.000000,0.000002
0.720000,0.555678,-0.242875,-0.028525,-0.000029,0.000029,0.000002
0.730000,0.555669,-0.242878,-0.028525,-0.000028,0.000078,0.000002
0.740000,0.555656,-0.242882,-0.028518,-0.000029,0.000132,0.000002
0.750000,0.555638,-0.242885,-0.028500,-0.000031,0.000184,0.000002
0.760000,0.555616,-0.242889,-0.028473,-0.000035,0.000230,0.000002
0.770000,0.555590,-0.242894,-0.028439,-0.000039,0.000268,0.000002
0.780000,0.555561,-0.242899,-0.028404,-0.000043,0.000297,0.000002
0.790000,0.555530,-0.242905,-0.028370,-0.000047,0.000316,0.000003
0.800000,0.555497,-0.242911,-0.028339,-0.000050,0.000325,0.000003
0.810000,0.555463,-0.242917,-0.028312,-0.000053,0.000326,0.000003
0.820000,0.555429,-0.242924,-0.028292,-0.000055,0.000317,0.000003
0.830000,0.555397,-0.242930,-0.028278,-0.000056,0.000301,0.000003
0.840000,0.555366,-0.242937,-0.028271,-0.000057,0.000277,0.000003
0.850000,0.555337,-0.242944,-0.028271,-0.000056,0.000247,0.000003
